Title,Link,Price_Whole,Price_Fraction,Rating,Num_Ratings
"Logitech MX Mechanical Wireless Illuminated Performance Keyboard, Tactile Quiet Switches, Backlit Keys, Bluetooth, USB-C, macOS, Windows, Linux, iOS, Android, Metal, ‎Graphite",N/A,N/A,N/A,4.2,N/A
"AULA F2088 Typewriter Style Mechanical Gaming Keyboard Wired,Blue Switches,Rainbow LED Backlit,Removable Wrist Rest,Media Control Knob,Retro Punk Round Keycaps,USB Wired Computer Keyboard",N/A,1459,58,4.4,N/A
"Redragon K580 VATA RGB LED Backlit Mechanical Gaming Keyboard with Macro Keys & Dedicated Media Controls, Hot-Swappable Socket, Onboard Macro Recording (Blue Switches)",N/A,1950,54,4.6,N/A
"Womier SK80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard Creamy Sound, Wired Hot Swappable Gasket Mount RGB Custom Key Board, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",N/A,1584,43,4.7,N/A
Razer BlackWidow V4 X Mechanical Gaming Keyboard: Yellow Switches Linear & Silent - 6 Macro Keys - Chroma RGB - Doubleshot ABS Keycaps - Roller & Media Keys - Snap Tap,N/A,2925,98,4.4,N/A
"Newmen GM325Pro Mechanical Keyboard,104 Keys Rainbow LED Backlit Wired Gaming Keyboards,Hot-Swap Metal Panel ABS Black Keycaps Gaming Mechanical Keyboard for Windows Laptop PC Linear Red Switches",N/A,714,99,4.3,N/A
"Satechi SM3 Mechanical Keyboard for Mac and Windows, 108 Keys Full Size with White LED Backlit, Wired and Bluetooth for Mac and Windows - Dark Gray/Gray",N/A,3901,41,4.5,N/A
"RK ROYAL KLUDGE S98 Mechanical Keyboard w/Smart Display & Knob, Top Mount 96% Wireless Mechanical Keyboard BT/2.4G/USB-C, Hot Swappable, Software Support, Creamy Sounding, 98 Keys",N/A,2438,26,4.5,N/A
SteelSeries USB Apex 5 Hybrid Mechanical Gaming Keyboard – Per-Key RGB Illumination – Aircraft Grade Aluminum Alloy Frame – OLED Smart Display (Hybrid Blue Switch),N/A,3218,61,4.6,N/A
"AULA F75 75% Wireless Mechanical Keyboard, Hot Swappable Creamy Keyboard, Pre-lubed Reaper Switches, 2.4GHz/Type-C/BT5.0, RGB Backlit Gaming Keyboards(White & Blue)",N/A,2145,63,4.6,N/A
"EPOMAKER X Aula F75 MAX Wireless Mechanical Keyboard with TFT Screen and Knob, Gasket Gaming Keyboard in 75% Layout, Hot Swappable, RGB Backlight, for PC/Mac/Linux (Black Gradient)",N/A,2340,72,4.7,N/A
"EWEADN TK950 Typewriter Mechanical Keyboard and Mouse, 104 Keys Aesthetic Typewriter Keyboard Mouse Combo with White Backlit, Anti-Ghosting, Black Switch Bluetooth/2.4GHz/Wired Cute Keyboards-Black",N/A,2470,78,3.4,N/A
"EPOMAKER Galaxy100 QMK/VIA Wireless Gaming Keyboard, Aluminum Shell, BT/2.4Ghz/USB-C, Pre-Lubed Hot-Swappable Linear Switches, NKRO, RGB Backlit (Creamy White, Marble White Switch)",N/A,2896,72,4.3,N/A
"AULA F2088 Typewriter Style Mechanical Gaming Keyboard Wired,Blue Switches,Rainbow LED Backlit,Removable Wrist Rest,Media Control Knob,Retro Punk Round Keycaps,USB Wired Computer Keyboard",N/A,1459,58,4.4,N/A
"Kisnt KN85 Wireless Mechanical Gaming Keyboard, 75% Layout with RGB Backlit, Custom Hot Swappable, Creamy Sound, Bluetooth/2.4GHz/USB-C Compatible with Windows/Mac/PC(Retro Beige,Linear Switch)",N/A,1397,80,4.6,N/A
"Corsair Galleon 100 SD RGB Mechanical Wired Gaming Keyboard – QWERTY US, Stream Deck-Integrated, Pre-Lubed MLX Pulse Thocky Hotswappable PBT Double-Shot Switches, FlashTap SOCD, 8,000Hz – Black",N/A,11379,75,4.0,N/A
"Cherry KC 200 MX, Wired Mechanical Office Keyboard, Modern Design with Elegant Aluminum Surface, USB-A Connection, MX2A Silent RED Switches, Black/Bronze",N/A,2570,92,4.6,N/A
"AULA 99 Key Keyboard, Tri-Mode Bluetooth/2.4GHz/USB-C Cute Creamy Gaming Keyboard with Number Pad RGB Backlit, Media Knob Custom Mechanical Feel Computer Keyboards for MAC Xbox PC Gamer - Purple",N/A,910,08,4.3,N/A
"Redragon K689 Wired Gasket RGB Gaming Keyboard, 108 Keys Mechanical Keyboard w/Extra 4 Hotkeys, Upgraded Hot-swappable Socket, 3-Layer Noise Dampening, Mixed Color Keycaps, Custom Linear Switch",N/A,1527,86,4.5,N/A
"RK ROYAL KLUDGE R75 Mechanical Keyboard Wired with Volume Knob, 75% Keyboard Gasket Mounted, RGB Backlit, Creamy Keyboard with MDA Profile, PBT Keycaps, Hot Swappable Pre-lubed Linear Switch",N/A,1625,40,4.6,N/A
"Redragon K689 PRO Wireless Gasket RGB Gaming Keyboard, 108 Keys Mechanical Keyboard w/Extra 4 Hotkeys, Upgraded Hot-swappable Socket, 3-Layer Noise Dampening, Round PBT Keycaps, Custom Linear Switch",N/A,1787,97,4.5,N/A
"ASUS ROG Strix Scope II X Wired USB Mechanical Gaming Keyboard – 100% Full-Size, Hot Swappable Pre-lubed ROG NX Snow V2 Linear Switches, PBT Keycaps, RGB, PC/Mac Support - Black",N/A,3251,12,4.7,N/A
"Black Diamond 75 v2 RGB Wireless Mechanical Gaming Keyboard, 2.4G 2ms Latency, Tri-Mode Connection, Leaf Spring Mount, Custom Internals, Hotswapable Switch",N/A,8973,68,3.8,N/A
"Satechi SM3 Mechanical Keyboard for Mac and Windows, 108 Keys Full Size with White LED Backlit, Wired and Bluetooth for Mac and Windows - Light Gray/White",N/A,3901,41,4.5,N/A
"Redragon K745 PRO Wireless Gasket RGB Gaming Keyboard, 108 Keys Mechanical Keyboard w/Extra 4 Hotkeys, Hot-Swap Socket, 5-Layer Noise Dampening, See-Through Round PBT Keycaps, Mint Mambo Switch",N/A,1950,54,4.6,N/A
"RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Abs Keycaps/Anti-Ghosting/Spill-Resistant Computer Keyboard for PC Mac Xbox Gamer",N/A,942,60,4.5,N/A
"EPOMAKER x Aula F75 Gasket Mechanical Keyboard, 75% Wireless Hot Swappable Gaming Keyboard with Five-Layer Padding&Knob, BT/2.4GHz/USB-C, RGB (Light Blue, LEOBOG Reaper Switch)",N/A,2145,63,4.6,N/A
"YUNZII C98 Wireless Mechanical Keyboard with Number Pad,99 Key BT5.0/2.4G/USB-C Hot Swap Gasket Mount with PBT MOA Keycaps,Custom RGB,Cute Cake Keyboard for Win/Mac (Beige, Milk V2 Linear Switch)",N/A,3316,15,4.9,N/A
"AULA F2088 Typewriter Style Mechanical Gaming Keyboard Wired,Blue Switches,Rainbow LED Backlit,Removable Wrist Rest,Media Control Knob,Retro Punk Round Keycaps,USB Wired Computer Keyboard",N/A,1459,58,4.4,N/A
"AULA WIN68 HE Mechanical Gaming Keyboard 60%, Hall Effect Magnetic Switch, Fast Trigger Mode Adjustable Actuation, 8000Hz Polling Rate, RGB Backlit, Wired Black Keyboard for Laptop/PC Gamer",N/A,1300,25,4.6,N/A
"Redragon K556 RGB LED Backlit Wired Mechanical Gaming Keyboard, 104 Keys Hot-Swap Mechanical Keyboard w/Aluminum Base, Upgraded Socket and Noise Absorbing Foams, Soft Tactile Brown Switch",N/A,1527,86,4.6,N/A
"RK ROYAL KLUDGE R98 Pro Wired Mechanical Keyboard, 96% Creamy Gaming Keyboard RGB Backlit with Number Pad and Volume Knob, Gasket Mount, MDA Profile PBT Keycaps, Hot Swappable Pre-lubed Linear Switch",N/A,2275,69,4.6,N/A
"Adesso AKB-670UB Mechanical Keyboard with Copilot AI Hotkey - Blue Switch, Multi-OS Compatible | Enhanced Productivity with Tactile Feel and Multimedia Keys",N/A,1300,25,4.8,N/A
"RedThunder K10 Wired Gaming Keyboard, Mouse Wrist Rest Combo, RGB Backlit, Mechanical Feel Anti-ghosting Keyboard + 7D 7200 DPI Mice+Soft Leather Wrist Rest 3 in 1 PC Gamer Accessories(Gradient Gray)",N/A,1326,27,4.5,N/A
"AULA F99 Wireless Mechanical Keyboard,Triple-Mode(BT5.0/2.4GHz/USB-C),Gasket Mounted Creamy Keyboard with Linear Switches, Side Printed PBT Keycaps,RGB Backlit PC Gaming Keyboards for Win/Mac",N/A,2275,69,4.4,N/A
"Black Diamond 75 v2 RGB Wireless Mechanical Gaming Keyboard, 2.4G 2ms Latency, Tri-Mode Connection, Leaf Spring Mount, Custom Internals, Hotswapable Switch",N/A,8973,68,3.8,N/A
"CORSAIR K70 CORE RGB Mechanical Wired Gaming Keyboard with Palmrest – Pre-Lubed MLX Red Linear Switches, SOCD, ABS Double-Shot Keycaps, Sound Dampening, Media Control Dial, QWERTY NA – Black",N/A,3576,27,3.9,N/A
"ASUS ROG Strix Scope II 96 Wireless Mechanical Gaming Keyboard – 96% Full-Size, Tri-Mode Connectivity, Hot Swappable Pre-lubed ROG NX Snow Linear Switches, PBT Keycaps, RGB, PC/Mac Support-Black",N/A,4249,32,4.6,N/A
"nuphy Halo V2 IO Wireless Mechanical Keyboard with PBT Keycaps,Hot Swappable Custom Gaming Keyboard,Aluminum Alloy Frame,RGB Backlit,Gasket Structure,BT5.0/USB-C/2.4GHz Low Latency Office Keyboards",N/A,4550,40,N/A,N/A
"EPOMAKER TH108 V2 PRO Full Size Mechanical Keyboard with Screen&Knob, 10000mAh, BT/2.4Ghz, Mac Modifier PBT Keycap, Hot Swap, RGB, Gasket, Wireless Gaming Keyboard for Mac/PC (Blue, Creamy Jade)",N/A,3251,12,4.8,N/A
"GEODMAER 65% Gaming Keyboard, Wired Backlit Mini Keyboard, Ultra-Compact Anti-Ghosting No-Conflict 68 Keys Membrane Gaming Wired Keyboard for PC Laptop Windows Gamer",N/A,524,13,4.4,N/A
"Redragon K521 Upgrade Rainbow LED Gaming Keyboard, 104 Keys Wired Mechanical Feeling Keyboard with Multimedia Keys, One-Touch Backlit, Anti-Ghosting, Compatible with PC, Mac, PS4/5, Xbox",N/A,519,91,4.4,N/A
"RedThunder K95 Wireless Mechanical Keyboard, TFT Screen & Knob, Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom, Pre-lubed Linear Pink Switches, Gasket Structure, RGB Gaming Keyboard, Black-Gold",N/A,2600,83,4.3,N/A
Corsair K100 RGB Mechanical Gaming Keyboard - Cherry MX Speed RGB Silver Keyswitches - PBT Double-Shot Keycaps - Elgato Stream Deck and iCUE Compatible - QWERTY NA Layout - Black,N/A,5527,14,4.5,N/A
"Adesso AKB-670UB Mechanical Keyboard with Copilot AI Hotkey - Blue Switch, Multi-OS Compatible | Enhanced Productivity with Tactile Feel and Multimedia Keys",N/A,1300,25,4.8,N/A
MCHOSE UT98 Wireless Mechanical Keyboard Compact Gaming Keyboard with Knob Tri-Mode Connection Hot Swappable Custom Creamy Keyboard Gasket Structure Pre-lubed Linear Switches RGB Retro ICY,N/A,5071,94,4.6,N/A
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,Gasket Structure,RGB Backlit Gaming Keyboard for PC/Tablet/Xbox/PS4/PS5",N/A,2243,18,4.5,N/A
"AULA S98 Pro Wireless Mechanical Keyboard with Screen & Knob,2.4GHz/USB-C/BT5.0 Hot Swappable Creamy Keyboard,Pre-lubed Linear Switches,Side Printed PBT Keycaps,RGB Backlit Gaming Keyboards",N/A,2340,39,4.6,N/A
Razer BlackWidow V3 Mechanical Gaming Keyboard: Green Mechanical Switches - Tactile & Clicky - Chroma RGB Lighting - Compact Form Factor - Programmable Macro Functionality - USB Passthrough (Renewed),N/A,2520,85,4.6,N/A
"Corsair Vanguard 96 Wired Mechanical Gaming Keyboard – 96% Layout, MLX Fusion Tactile Switches, 8000Hz Polling, LCD Display, Virtual Stream Deck, G-Keys, SOCD Flashtap, QWERTY US – Black",N/A,4226,56,4.0,N/A
"EPOMAKER TH99 PRO 96% Mechanical Keyboard with Screen & Knob, 10000mAh, 2.4Ghz/BT, Hot Swap, Custom Driver, RGB Backlight, PBT Keycap, Wireless Gaming Keyboard for PC/Mac (Blue&White, Creamy Jade)",N/A,2340,72,4.8,N/A
"Keychron K8 Tenkeyless Wireless Mechanical Keyboard for Mac, White Backlight, Bluetooth, Multitasking, Type-C Wired Gaming Keyboard for Windows with Brown Switch",N/A,N/A,N/A,4.4,N/A
Razer Tartarus V2 Gaming Keypad: Mecha Membrane Key Switches - One Handed Keyboard - 32 Programmable Keys - Customizable Chroma RGB Lighting - Programmable Macros - Snap Tap - Black,N/A,2275,69,4.4,N/A
"RK ROYAL KLUDGE S108 Typewriter Keyboard, Retro Mechanical Gaming Keyboard Wired 108 Keys with RGB Backlit Sidelight, Detachable Wrist Rest, Round Keycaps Blue Switches - Black",N/A,1950,54,4.6,N/A
"RedThunder K10 Wired Gaming Keyboard, Mouse Wrist Rest Combo, RGB Backlit, Mechanical Feel Anti-ghosting Keyboard + 7D 7200 DPI Mice+Soft Leather Wrist Rest 3 in 1 PC Gamer Accessories(Gradient Gray)",N/A,1326,27,4.5,N/A
"Typewriter Mechanical Gaming Keyboard and Mouse, Metal Panel Retro Keyboards with Round Keycap Blue Switch, Rainbow LED Backlit 104-Key Anti-Ghost Wired Mouse and Pad Combo for PC Laptop Mac Gamer",N/A,1462,83,4.4,N/A
